CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO,
ES0031405462253006LB0F;08/05/2022;6;0,042;;;R
ES0031405462253006LB0F;08/05/2022;7;0,062;;;R
ES0031405462253006LB0F;08/05/2022;8;0,077;;;R
ES0031405462253006LB0F;08/05/2022;9;0,145;;;R
ES0031405462253006LB0F;08/05/2022;10;0,322;;;R
ES0031405462253006LB0F;08/05/2022;11;0,128;;;R
ES0031405462253006LB0F;08/05/2022;12;0,098;;;R
ES0031405462253006LB0F;08/05/2022;13;0,096;;;R
ES0031405462253006LB0F;08/05/2022;14;0,06;;;R
ES0031405462253006LB0F;08/05/2022;15;0,051;;;R
ES0031405462253006LB0F;08/05/2022;16;0,074;;;R
ES0031405462253006LB0F;08/05/2022;17;0,131;;;R
ES0031405462253006LB0F;08/05/2022;18;0,163;;;R
ES0031405462253006LB0F;08/05/2022;19;0,07;;;R
ES0031405462253006LB0F;08/05/2022;20;0,107;;;R
ES0031405462253006LB0F;08/05/2022;21;0,494;;;R
ES0031405462253006LB0F;08/05/2022;22;0,31;;;R
ES0031405462253006LB0F;08/05/2022;23;0,131;;;R
ES0031405462253006LB0F;08/05/2022;24;0,077;;;R
ES0031405462253006LB0F;09/05/2022;1;0,1;;;R
ES0031405462253006LB0F;09/05/2022;2;0,098;;;R
ES0031405462253006LB0F;09/05/2022;3;0,064;;;R
ES0031405462253006LB0F;09/05/2022;4;0,101;;;R
ES0031405462253006LB0F;09/05/2022;5;0,058;;;R
ES0031405462253006LB0F;09/05/2022;6;0,077;;;R
ES0031405462253006LB0F;09/05/2022;7;0,057;;;R
ES0031405462253006LB0F;09/05/2022;8;0,075;;;R
ES0031405462253006LB0F;09/05/2022;9;0,15;;;R
ES0031405462253006LB0F;09/05/2022;10;0,045;;;R
ES0031405462253006LB0F;09/05/2022;11;0,112;;;R
ES0031405462253006LB0F;09/05/2022;12;0,207;;;R
ES0031405462253006LB0F;09/05/2022;13;0,101;;;R
ES0031405462253006LB0F;09/05/2022;14;0,451;;;R
ES0031405462253006LB0F;09/05/2022;15;0,098;;;R
ES0031405462253006LB0F;09/05/2022;16;0,076;;;R
ES0031405462253006LB0F;09/05/2022;17;0,097;;;R
ES0031405462253006LB0F;09/05/2022;18;0,082;;;R
ES0031405462253006LB0F;09/05/2022;19;0,171;;;R
ES0031405462253006LB0F;09/05/2022;20;0,091;;;R
ES0031405462253006LB0F;09/05/2022;21;0,05;;;R
ES0031405462253006LB0F;09/05/2022;22;0,481;;;R
ES0031405462253006LB0F;09/05/2022;23;0,493;;;R
ES0031405462253006LB0F;09/05/2022;24;0,093;;;R
ES0031405462253006LB0F;10/05/2022;1;0,081;;;R
ES0031405462253006LB0F;10/05/2022;2;0,09;;;R
ES0031405462253006LB0F;10/05/2022;3;0,047;;;R
ES0031405462253006LB0F;10/05/2022;4;0,07;;;R
ES0031405462253006LB0F;10/05/2022;5;0,072;;;R
ES0031405462253006LB0F;10/05/2022;6;0,042;;;R
ES0031405462253006LB0F;10/05/2022;7;0,075;;;R
ES0031405462253006LB0F;10/05/2022;8;0,13;;;R
ES0031405462253006LB0F;10/05/2022;9;0,073;;;R
ES0031405462253006LB0F;10/05/2022;10;0,059;;;R
ES0031405462253006LB0F;10/05/2022;11;0,054;;;R
